Month,Fossil_Fuels_Consumption,Nuclear_Electric_Consumption,Renewable_Energy_Consumption,Total_Primary_Energy_Consumption,,
1973 January,6.747651,0.068103,0.219839,7.039731,,
1973 February,6.163095,0.064634,0.19733,6.428796,,
1973 March,6.044647,0.072494,0.218686,6.339964,,
1973 April,5.493184,0.06407,0.20933,5.770589,,
1973 May,5.613551,0.062111,0.215982,5.895781,,
1973 June,5.347479,0.073968,0.208249,5.6337,,
1973 July,5.504556,0.07589,0.2078,5.792383,,
1973 August,5.748879,0.084883,0.203432,6.041332,,
1973 September,5.376782,0.085724,0.1853,5.651809,,
1973 October,5.7653,0.081971,0.193514,6.044923,,
1973 November,6.08844,0.088773,0.195326,6.376542,,
1973 December,6.388515,0.087557,0.220755,6.700965,,
1974 January,6.378043,0.084855,0.23101,6.697586,,
1974 February,5.820458,0.090577,0.210188,6.124546,,
1974 March,5.845649,0.097966,0.226384,6.173677,,
1974 April,5.355618,0.079566,0.223218,5.661961,,
1974 May,5.359907,0.073242,0.227793,5.66462,,
1974 June,5.150392,0.079015,0.218976,5.451943,,
1974 July,5.458003,0.113953,0.221909,5.797544,,
1974 August,5.488069,0.137654,0.214197,5.843598,,
1974 September,5.230848,0.12288,0.2009,5.558188,,
1974 October,5.713389,0.121248,0.200312,6.038628,,
1974 November,5.757535,0.122819,0.200068,6.083982,,
1974 December,6.314029,0.148309,0.211046,6.677062,,
1975 January,6.508066,0.153503,0.214319,6.87768,,
1975 February,5.658866,0.140232,0.198008,5.998725,,
1975 March,5.794307,0.163893,0.224384,6.184376,,
1975 April,5.244039,0.146773,0.215679,5.608225,,
1975 May,4.917011,0.15158,0.223695,5.294079,,
1975 June,4.881923,0.140348,0.217798,5.241803,,
1975 July,5.099561,0.169294,0.216202,5.486849,,
1975 August,5.199413,0.174883,0.206312,5.5824,,
1975 September,4.996158,0.158543,0.194934,5.35137,,
1975 October,5.377048,0.161078,0.206489,5.746407,,
1975 November,5.309492,0.155988,0.208436,5.675651,,
1975 December,6.337521,0.183682,0.217911,6.740907,,
1976 January,6.710216,0.177844,0.236073,7.126622,,
1976 February,5.836128,0.158824,0.221374,6.218654,,
1976 March,5.807521,0.15458,0.237807,6.202396,,
1976 April,5.334664,0.121316,0.224756,5.683145,,
1976 May,5.243322,0.131784,0.234082,5.611677,,
1976 June,5.236508,0.174072,0.229595,5.642583,,
1976 July,5.40514,0.195628,0.235984,5.83924,,
1976 August,5.367256,0.202851,0.228336,5.800932,,
1976 September,5.18912,0.191006,0.211665,5.594199,,
1976 October,5.681201,0.191723,0.218818,6.09423,,
1976 November,6.197897,0.178235,0.209968,6.588508,,
1976 December,7.0619,0.233256,0.216239,7.513884,,
1977 January,7.230327,0.238556,0.228907,7.702837,,
1977 February,6.134899,0.211078,0.194523,6.545058,,
1977 March,5.97723,0.222619,0.225781,6.430677,,
1977 April,5.409177,0.213943,0.216602,5.844606,,
1977 May,5.413653,0.221834,0.221823,5.862356,,
1977 June,5.512801,0.23172,0.211752,5.961157,,
1977 July,5.618804,0.235032,0.215097,6.073979,,
1977 August,5.714704,0.244991,0.214871,6.179614,,
1977 September,5.535869,0.211395,0.208974,5.961122,,
1977 October,5.72095,0.205053,0.216727,6.147777,,
1977 November,5.900695,0.209548,0.222663,6.33779,,
1977 December,6.781158,0.255994,0.235754,7.277954,,
1978 January,6.994146,0.282638,0.260677,7.543179,,
1978 February,6.416481,0.238869,0.233933,6.894447,,
1978 March,6.280715,0.245611,0.258863,6.790907,,
1978 April,5.537677,0.192342,0.255285,5.990837,,
1978 May,5.63302,0.223373,0.272691,6.134802,,
1978 June,5.469015,0.242728,0.254703,5.971979,,
1978 July,5.629409,0.273603,0.258056,6.166785,,
1978 August,5.801865,0.280082,0.250652,6.338316,,
1978 September,5.446963,0.242769,0.241494,5.93676,,
1978 October,5.788479,0.251605,0.241095,6.286896,,
1978 November,6.02842,0.272438,0.237214,6.543604,,
1978 December,6.783142,0.278067,0.250285,7.317212,,
1979 January,7.336166,0.302351,0.27,7.914409,,
1979 February,6.732512,0.281883,0.239377,7.259095,,
1979 March,6.42199,0.264739,0.273485,6.966106,,
1979 April,5.635417,0.200369,0.265526,6.107015,,
1979 May,5.688216,0.163455,0.283727,6.141291,,
1979 June,5.520908,0.174776,0.264118,5.965505,,
1979 July,5.619578,0.226552,0.262394,6.114416,,
1979 August,5.814576,0.263316,0.257423,6.341208,,
1979 September,5.431098,0.237204,0.243468,5.917473,,
