Month,Primary Energy Imports,Primary Energy Exports,Primary Energy Net Imports,Primary Energy Stock Change and Other,,
1973 January,1.17308,0.125781,1.047299,0.771858,,
1973 February,1.168005,0.120883,1.047122,0.390129,,
1973 March,1.309473,0.13995,1.169523,-0.06764,,
1973 April,1.085169,0.194185,0.890984,-0.110067,,
1973 May,1.162804,0.196775,0.966029,-0.305335,,
1973 June,1.129614,0.178871,0.950743,-0.315356,,
1973 July,1.216246,0.164134,1.052112,-0.291695,,
1973 August,1.297848,0.191049,1.106799,-0.39578,,
1973 September,1.226145,0.146492,1.079652,-0.430371,,
1973 October,1.315774,0.207655,1.108119,-0.337003,,
1973 November,1.321809,0.183453,1.138356,0.143584,,
1973 December,1.207179,0.183859,1.023319,0.489137,,
1974 January,1.083235,0.121461,0.961774,0.458905,,
1974 February,0.955624,0.164831,0.790793,0.463145,,
1974 March,1.064548,0.132223,0.932325,0.035739,,
1974 April,1.156477,0.186646,0.969831,-0.38581,,
1974 May,1.280713,0.217693,1.06302,-0.66603,,
1974 June,1.211565,0.225425,0.986139,-0.389243,,
1974 July,1.28033,0.200632,1.079698,-0.334259,,
1974 August,1.260397,0.19058,1.069817,-0.314204,,
1974 September,1.154422,0.169578,0.984844,-0.364592,,
1974 October,1.232624,0.246304,0.98632,-0.169305,,
1974 November,1.305091,0.225305,1.079786,0.50007,,
1974 December,1.31925,0.122687,1.196563,0.68555,,
1975 January,1.347568,0.162773,1.184795,0.593424,,
1975 February,1.108542,0.171418,0.937124,0.341812,,
1975 March,1.140333,0.199517,0.940816,0.211704,,
1975 April,0.97805,0.208831,0.76922,-0.057411,,
1975 May,1.040395,0.234229,0.806166,-0.531911,,
1975 June,1.033375,0.215488,0.817887,-0.487975,,
1975 July,1.168491,0.172327,0.996164,-0.291195,,
1975 August,1.226702,0.203021,1.023681,-0.341322,,
1975 September,1.275391,0.168853,1.106538,-0.595252,,
1975 October,1.235454,0.16808,1.067373,-0.388816,,
1975 November,1.215872,0.238836,0.977036,-0.127678,,
1975 December,1.262216,0.179878,1.082337,0.613458,,
1976 January,1.3127,0.133918,1.178782,0.939402,,
1976 February,1.229336,0.130286,1.09905,0.322967,,
1976 March,1.305794,0.148215,1.157579,-0.100949,,
1976 April,1.253496,0.203014,1.050483,-0.256462,,
1976 May,1.236985,0.193529,1.043456,-0.420022,,
1976 June,1.399163,0.222274,1.176889,-0.513435,,
1976 July,1.511982,0.1835,1.328482,-0.234563,,
1976 August,1.429463,0.164321,1.265142,-0.382852,,
1976 September,1.476783,0.197788,1.278995,-0.618356,,
1976 October,1.467472,0.200412,1.267061,-0.18424,,
1976 November,1.508602,0.214592,1.29401,0.358976,,
1976 December,1.628283,0.179839,1.448444,0.917189,,
1977 January,1.710226,0.100279,1.609947,1.308942,,
1977 February,1.738127,0.127518,1.610609,0.276578,,
1977 March,1.809005,0.136544,1.672461,-0.578259,,
1977 April,1.623215,0.195647,1.427568,-0.6107,,
1977 May,1.647862,0.210991,1.436871,-0.740491,,
1977 June,1.653446,0.208999,1.444448,-0.571927,,
1977 July,1.732038,0.195242,1.536797,-0.330069,,
1977 August,1.642039,0.165718,1.47632,-0.364124,,
1977 September,1.593901,0.192805,1.401096,-0.663427,,
1977 October,1.619758,0.186155,1.433603,-0.577906,,
1977 November,1.525978,0.171202,1.354776,-0.270563,,
1977 December,1.652535,0.16079,1.491745,1.17278,,
1978 January,1.609273,0.076735,1.532539,1.551345,,
1978 February,1.42092,0.056798,1.364122,1.381459,,
1978 March,1.646151,0.064605,1.581546,0.352515,,
1978 April,1.466543,0.132187,1.334356,-0.497,,
1978 May,1.479371,0.181963,1.297408,-0.617937,,
1978 June,1.512571,0.21968,1.292891,-0.614643,,
1978 July,1.600652,0.160129,1.440523,-0.437914,,
1978 August,1.601528,0.176105,1.425422,-0.459619,,
1978 September,1.682186,0.183946,1.49824,-0.61006,,
