Month,Fossil_Fuels_Production,Nuclear_Electric_Production,Renewable_Energy_Production,Total_Primary_Energy_Production,,
1973 January,4.932632,0.068103,0.219839,5.220574,,
1973 February,4.729582,0.064634,0.19733,4.991545,,
1973 March,4.946902,0.072494,0.218686,5.238082,,
1973 April,4.716271,0.06407,0.20933,4.989672,,
1973 May,4.956995,0.062111,0.215982,5.235087,,
1973 June,4.716096,0.073968,0.208249,4.998313,,
1973 July,4.748276,0.07589,0.2078,5.031966,,
1973 August,5.041997,0.084883,0.203432,5.330313,,
1973 September,4.731504,0.085724,0.1853,5.002528,,
1973 October,4.998321,0.081971,0.193514,5.273806,,
1973 November,4.810504,0.088773,0.195326,5.094602,,
1973 December,4.880197,0.087557,0.220755,5.188508,,
1974 January,4.961042,0.084855,0.23101,5.276907,,
1974 February,4.569843,0.090577,0.210188,4.870608,,
1974 March,4.881263,0.097966,0.226384,5.205612,,
1974 April,4.775157,0.079566,0.223218,5.07794,,
1974 May,4.966595,0.073242,0.227793,5.26763,,
1974 June,4.557055,0.079015,0.218976,4.855046,,
1974 July,4.716243,0.113953,0.221909,5.052105,,
1974 August,4.736135,0.137654,0.214197,5.087985,,
1974 September,4.614156,0.12288,0.2009,4.937936,,
1974 October,4.900053,0.121248,0.200312,5.221613,,
1974 November,4.181238,0.122819,0.200068,4.504126,,
1974 December,4.435595,0.148309,0.211046,4.79495,,
1975 January,4.731639,0.153503,0.214319,5.099461,,
1975 February,4.381549,0.140232,0.198008,4.719789,,
1975 March,4.643579,0.163893,0.224384,5.031856,,
1975 April,4.533965,0.146773,0.215679,4.896417,,
1975 May,4.644549,0.15158,0.223695,5.019824,,
1975 June,4.553746,0.140348,0.217798,4.911891,,
1975 July,4.396385,0.169294,0.216202,4.78188,,
1975 August,4.518846,0.174883,0.206312,4.900041,,
1975 September,4.486607,0.158543,0.194934,4.840084,,
1975 October,4.700282,0.161078,0.206489,5.067849,,
1975 November,4.461868,0.155988,0.208436,4.826293,,
1975 December,4.643518,0.183682,0.217911,5.045111,,
1976 January,4.59452,0.177844,0.236073,5.008438,,
1976 February,4.416439,0.158824,0.221374,4.796637,,
1976 March,4.753379,0.15458,0.237807,5.145766,,
1976 April,4.543052,0.121316,0.224756,4.889124,,
1976 May,4.622377,0.131784,0.234082,4.988243,,
1976 June,4.575462,0.174072,0.229595,4.979129,,
1976 July,4.313708,0.195628,0.235984,4.745321,,
1976 August,4.487455,0.202851,0.228336,4.918642,,
1976 September,4.530889,0.191006,0.211665,4.93356,,
1976 October,4.600868,0.191723,0.218818,5.01141,,
1976 November,4.547319,0.178235,0.209968,4.935522,,
1976 December,4.698756,0.233256,0.216239,5.148251,,
1977 January,4.316486,0.238556,0.228907,4.783949,,
1977 February,4.252271,0.211078,0.194523,4.657872,,
1977 March,4.888075,0.222619,0.225781,5.336475,,
1977 April,4.597192,0.213943,0.216602,5.027738,,
1977 May,4.72232,0.221834,0.221823,5.165976,,
1977 June,4.645165,0.23172,0.211752,5.088636,,
1977 July,4.417123,0.235032,0.215097,4.867252,,
1977 August,4.607554,0.244991,0.214871,5.067417,,
1977 September,4.803085,0.211395,0.208974,5.223454,,
1977 October,4.8703,0.205053,0.216727,5.29208,,
1977 November,4.821366,0.209548,0.222663,5.253577,,
1977 December,4.12168,0.255994,0.235754,4.613428,,
1978 January,3.91598,0.282638,0.260677,4.459295,,
1978 February,3.676065,0.238869,0.233933,4.148867,,
1978 March,4.352372,0.245611,0.258863,4.856846,,
1978 April,4.705855,0.192342,0.255285,5.153482,,
1978 May,4.959267,0.223373,0.272691,5.455332,,
1978 June,4.7963,0.242728,0.254703,5.293731,,
1978 July,4.632517,0.273603,0.258056,5.164175,,
1978 August,4.841779,0.280082,0.250652,5.372513,,
1978 September,4.564316,0.242769,0.241494,5.04858,,
1978 October,4.959112,0.251605,0.241095,5.451812,,
1978 November,4.85622,0.272438,0.237214,5.365872,,
1978 December,4.770957,0.278067,0.250285,5.299309,,
1979 January,4.742426,0.302351,0.27,5.314777,,
1979 February,4.408445,0.281883,0.239377,4.929706,,
1979 March,4.952546,0.264739,0.273485,5.490769,,
1979 April,4.770662,0.200369,0.265526,5.236557,,
1979 May,4.977269,0.163455,0.283727,5.424451,,
1979 June,4.847761,0.174776,0.264118,5.286656,,
1979 July,4.524046,0.226552,0.262394,5.012992,,
1979 August,4.98963,0.263316,0.257423,5.510369,,
1979 September,4.717572,0.237204,0.243468,5.198244,,
1979 October,5.178934,0.227745,0.253559,5.660238,,
1979 November,4.94752,0.209477,0.255317,5.412314,,
1979 December,4.89564,0.223959,0.262637,5.382237,,
1980 January,5.11377,0.215389,0.298221,5.62738,,
1980 February,4.804588,0.210277,0.271194,5.28606,,
1980 March,5.14794,0.218584,0.294931,5.661454,,
1980 April,4.909243,0.205,0.293043,5.407285,,
1980 May,5.010862,0.200541,0.310682,5.522086,,
1980 June,4.833075,0.199859,0.299633,5.332566,,
1980 July,4.687391,0.229329,0.295537,5.212257,,
1980 August,4.782434,0.265424,0.281831,5.329688,,
1980 September,4.775533,0.257127,0.268204,5.300864,,
1980 October,4.962184,0.267351,0.273058,5.502594,,
1980 November,4.828384,0.228892,0.270913,5.328189,,
1980 December,5.124584,0.241396,0.288131,5.654111,,
1981 January,4.933286,0.26228,0.299483,5.495049,,
1981 February,4.710872,0.238196,0.273604,5.222671,,
1981 March,5.201903,0.242709,0.293454,5.738066,,
1981 April,4.135199,0.227726,0.286764,4.649689,,
1981 May,4.245212,0.217546,0.305297,4.768055,,
1981 June,4.672515,0.233457,0.30586,5.211831,,
1981 July,5.007101,0.254569,0.308821,5.57049,,
1981 August,5.177108,0.297219,0.296678,5.771005,,
1981 September,5.06372,0.269115,0.27672,5.609554,,
1981 October,5.254067,0.226731,0.284684,5.765482,,
1981 November,4.954065,0.251301,0.280364,5.48573,,
1981 December,5.132915,0.286743,0.304193,5.723851,,
1982 January,4.918393,0.284331,0.320311,5.523034,,
1982 February,4.728817,0.223538,0.297475,5.249829,,
1982 March,5.267363,0.251971,0.330131,5.849466,,
1982 April,4.87061,0.241222,0.316183,5.428015,,
1982 May,4.856617,0.239606,0.323939,5.420162,,
1982 June,4.760056,0.26604,0.316816,5.342912,,
1982 July,4.590146,0.281997,0.321854,5.193996,,
1982 August,4.8292,0.276671,0.310059,5.41593,,
1982 September,4.613666,0.281149,0.289054,5.18387,,
1982 October,4.764703,0.257422,0.296056,5.318181,,
1982 November,4.580885,0.257281,0.300864,5.13903,,
1982 December,4.635404,0.269921,0.323054,5.228379,,
1983 January,4.702314,0.273422,0.348969,5.324704,,
1983 February,4.289048,0.242067,0.320213,4.851327,,
1983 March,4.665589,0.260523,0.352422,5.278533,,
1983 April,4.434922,0.243561,0.343331,5.021814,,
1983 May,4.490949,0.240465,0.35533,5.086744,,
1983 June,4.370639,0.263376,0.346012,4.980027,,
1983 July,4.325726,0.279191,0.345359,4.950276,,
1983 August,4.710642,0.285725,0.338025,5.334392,,
1983 September,4.546845,0.272705,0.315758,5.135309,,
1983 October,4.699021,0.281314,0.320524,5.300859,,
1983 November,4.57485,0.272735,0.325785,5.17337,,
1983 December,4.557628,0.287465,0.357437,5.20253,,
1984 January,4.974302,0.317844,0.355607,5.647753,,
1984 February,4.770232,0.308326,0.333238,5.411796,,
